symbol,address,price,market_cap,volume_24h,price_change_24h,price_change_1h,holder_count,smart_degen,renowned_count,liquidity,rug_ratio,creator_status,twitter,platform
COINCOMMS,AdUWK9YoTFs1y2XWg9cvfmWJTLSNb2UUZhwB8pNqGfzG,0.000166513,166513,26808800,222.88,17.9736,6056,0,0,259849,0,creator_close,https://x.com/CoinComms,
SPCX,7aswoEKbZ8tv8rngY7K3mfz3UAuh3dqidYzZfJK6r1eV,0.000141887,141887,14659600,179.643,-9.30023,6070,0,0,209602,0,creator_close,https://x.com/spcxmeme,
GULF,8PTcnsTjKAwG8AS4uaShVYfb4c4QUmrEQeEuen56eKFA,7.77007e-05,77700.7,13461300,620.301,18.5766,6043,0,0,97439.5,0,creator_close,https://x.com/GULFOILRESERV,
GULF,AssrKWqhZsjwYa5uGEnmmfXTQEYR7LNLJkCqhSMKgbLX,0.000240574,240574,11676100,1350.99,11.6155,3768,0,0,126193,0,creator_close,,
USER,Gqaww9txXn2Xg1m6FhNNtHe2Rz2MzapSzVdxdDTBQtM7,0.00010424,104240,9216140,311.877,4.60353,3607,0,0,128206,0,creator_close,,
CUM,oqU4DdYCbdSf9j74vnEgvCn1YzNfYQEPWaC6pu6pump,0.000918407,918375,9112270,-12.6416,-25.1027,6315,40,10,129771,0.11702127659574468,creator_hold,https://x.com/Kirodev7/status/2060384903431328158?s=20,Pump.fun
ZINC,5MbT7dHWvm8YDzss3WM2khjBqTSreSd5jrqukRsmCYGa,5.83547e-05,58354.7,8077630,281.508,38.502,3391,0,0,79829.2,0,creator_close,https://x.com/zinc_cash,
BAGWORKOOR,61J6JsFXsuK2VutEa3BBKY1pRW933XDmE5r94miTbV7z,4.57744e-05,15801.5,6509250,683.954,-4.58772e-05,17,0,0,6.5576e-07,0,creator_hold,,
XLM,HWynFS1CBe41JrJfYitHHZBHrcWsJzVDv8LHuQtiedxU,5.63691e-05,56369.1,5701370,236.303,47.0715,3818,0,0,74704.1,0,creator_close,https://twitter.com/StellarOrg,
ZINC,BTJ2ETvMwpXJhdCXsFuxcoLavfLYdnMpo7peKUvbfT9r,0.00217171,2171710,5658460,25689.8,3.02497,6046,0,0,58117.8,0,creator_close,https://x.com/zinc_cash,
